timestamp,session_id,turn_id,user_input,system_response,S,stress_level,Ea,Ec,Be,D,Ep,E,I,feedback
2026-04-28 18:24:52,d864869e,1,initial_assessment,high,1.0,4,0.8699999999999999,0.615,0.613,1.0,0.7062878476917801,0.744386354307534,1.0,0.0
2026-04-28 18:24:56,d864869e,2,conversation_turn,high,1.0,4,1.0,0.9795,1.0,1.0,0.9414793228995817,0.9762937968698746,1.0,0.0
